PoL_Timestamp,Currency.Code,Order.number,Quantity,Amount,Outstanding.Quantity,Outstanding.Amount,Qty_.to.Receive,Quantity.Received,ItemNo,k_ExpectedReceiptDate,k_RequestedReceiptDate,k_ConfirmedDeliveryDate,k_ETCDate,k_B_L.Date,k_OrderDate,k_PostingDate,k_DateReceived,PoH_Timestamp
2.02307E+13,USD,4531885278,153,2148,0,0,0,153,123578,20230313,20230115,20221215,2022,20230310,20220824,20230310,20230310,2.02307E+13
2.02307E+13,USD,4527144472,61,861,0,0,0,61,123578,20230313,20230115,20221215,2022,20230310,20220824,20230310,20230310,2.02307E+13
2.02301E+13,USD,4543359166,7710,108016,0,0,0,7710,954660,20230113,20230127,20221130,2022,20230112,20220824,20230112,20230112,2.02301E+13
2.02303E+13,USD,4573006099,92,2065,0,0,0,92,452147,20230314,20230215,20230115,2023,20230313,20220922,20230313,20230313,2.02303E+13
2.02301E+13,USD,4524115387,7700,109105,0,0,0,7700,225177,20230113,20230127,20221130,2022,20230112,20220824,20230112,20230112,2.02301E+13
2.02301E+13,USD,4515484549,122,1781,0,0,0,122,662058,20230118,20221215,20221031,2022,20230117,20220624,20230117,20230117,2.02301E+13
2.02301E+13,USD,4521491848,153,2166,0,0,0,153,831685,20230120,20221215,20221031,2022,20230111,20220624,20230119,20230119,2.02301E+13
2.02301E+13,USD,4521785672,153,2166,0,0,0,153,831685,20230120,20221215,20221031,2022,20230111,20220624,20230119,20230119,2.02301E+13
2.02311E+13,USD,4599294577,397,6498,0,0,0,397,721000,20231103,20231115,20230930,2023,20231102,20230428,20231102,20231102,2.02311E+13
2.02311E+13,USD,4564836663,244,3999,0,0,0,244,721000,20231103,20231115,20230930,2023,20231102,20230428,20231102,20231102,2.02311E+13
2.02311E+13,USD,4533080406,611,9985,0,0,0,611,721000,20231103,20231115,20230930,2023,20231102,20230428,20231102,20231102,2.02311E+13
2.02311E+13,USD,4525526738,825,13496,0,0,0,825,721000,20231103,20231115,20230930,2023,20231102,20230428,20231102,20231102,2.02311E+13
2.02311E+13,USD,4521792819,153,2615,0,0,0,153,720658,20231101,20231115,20230930,2023,20231031,20230428,20231031,20231031,2.02311E+13
