"article_id","price","sellable_online"
414499,385,TRUE
418807,1675,TRUE
696107,75,TRUE
184454,6545,TRUE
874380,1824.5,TRUE
639247,1516,TRUE
328481,1469,TRUE
939691,370,TRUE
891808,185,TRUE
860110,390,TRUE
299755,480,TRUE
105376,295,TRUE
889232,579,TRUE
702142,1695,TRUE
235376,5260,TRUE
332856,660,TRUE
772038,775,TRUE
737519,365,TRUE
531650,795,TRUE
185780,920,TRUE
920441,1540,TRUE
901130,1280,TRUE
374799,1640,TRUE
947427,2205.5,TRUE
254615,4070,TRUE
268566,645,TRUE
503916,830,TRUE
394859,1395,TRUE
326264,1025,TRUE
694873,465,TRUE
251590,840,TRUE
453552,5428,TRUE
794169,395,TRUE
319049,4745,TRUE
346411,356,TRUE
345019,1676,TRUE
232413,7785,TRUE
173730,2384,TRUE
534533,1679,TRUE
696569,323,TRUE
451658,1395,TRUE
136393,545,TRUE
725853,1060,TRUE
235180,4116,TRUE
420952,2300,TRUE
743887,398,TRUE
973946,3896,TRUE
759872,4604,TRUE
313122,3595,TRUE
538018,4270,TRUE
537306,1385,TRUE
162450,5465,TRUE
276918,1105,TRUE
491469,2370,TRUE
139237,4190,TRUE
478317,2945,TRUE
155155,1870,TRUE
327335,1578,TRUE
688707,1600,TRUE
543427,1389,TRUE
534460,1010,TRUE
146830,1769,TRUE
158425,3442,TRUE
537714,3140,TRUE
596175,1838,TRUE
971288,3102,TRUE
766441,3875,TRUE
873681,6180,TRUE
171449,1245,FALSE
606845,4265,TRUE
839023,1340,TRUE
545988,1636,TRUE
575373,889,TRUE
514948,1676,TRUE
832363,820,TRUE
429501,1260,TRUE
417264,310,TRUE
402511,795,TRUE
553860,1400,TRUE
464123,960,TRUE
426912,2832,TRUE
444371,930,TRUE
386673,195,TRUE
290208,2375,TRUE
462538,1324,TRUE
882178,3345,TRUE
912286,695,TRUE
110455,3055,TRUE
110178,3115,TRUE
929184,728,TRUE
914145,3190,TRUE
924234,2525,TRUE
451606,1606,TRUE
435253,1765,TRUE
504235,1725,TRUE
890394,175,TRUE
459936,475,TRUE
278508,125,TRUE
640344,384,TRUE
608405,2495,TRUE
629782,840,TRUE
797900,25,TRUE
998519,150,TRUE
253058,1645,TRUE
835840,545,TRUE
898952,6160,TRUE
132889,1725,TRUE
145030,119,TRUE
830506,150,TRUE
837962,250,TRUE
379244,785,TRUE
803519,49,TRUE
410267,175,TRUE
426588,445,TRUE
412356,19,TRUE
576178,395,TRUE
704826,175,TRUE
817737,99,TRUE
944698,225,TRUE
869027,1196,TRUE
876134,59,TRUE
894610,100,TRUE
930553,175,TRUE
143695,175,TRUE
686690,17,TRUE
593248,295,TRUE
829528,420,TRUE
538190,125,TRUE
651809,110,TRUE
811053,295,TRUE
380747,75,TRUE
900977,700,TRUE
824885,2100,TRUE
827338,725,TRUE
632200,795,TRUE
231703,50,TRUE
870521,245,TRUE
110622,1195,TRUE
980794,495,TRUE
276331,720,TRUE
611157,25,TRUE
995179,695,TRUE
503093,100,TRUE
334060,100,TRUE
417283,15,TRUE
312704,745,TRUE
941885,556,TRUE
997672,295,TRUE
661845,1276,TRUE
919020,556,TRUE
818189,395,TRUE
986888,100,TRUE
181310,175,TRUE
929722,199,TRUE
642654,1250,TRUE
835671,49,TRUE
206237,49,TRUE
843353,645,TRUE
507947,22,TRUE
853447,295,TRUE
193898,100,TRUE
206444,95,TRUE
548515,745,TRUE
395220,795,TRUE
163939,32,TRUE
558454,160,TRUE
412049,50,TRUE
897915,280,TRUE
852339,515,TRUE
487745,595,TRUE
513149,175,TRUE
983590,345,TRUE
960987,45,TRUE
742468,545,TRUE
605502,39,TRUE
486367,395,TRUE
174370,35,TRUE
666431,595,TRUE
906283,39,TRUE
284792,75,TRUE
945711,75,TRUE
375300,495,TRUE
274087,495,TRUE
829921,295,TRUE
146418,2100,TRUE
826414,695,TRUE
557790,425,TRUE
164763,340,TRUE
939773,550,TRUE
983260,495,TRUE
607649,495,TRUE
245216,495,TRUE
665054,240,TRUE
231458,345,TRUE
112452,22,TRUE
846949,116,TRUE
485997,995,TRUE
350732,95,TRUE
282070,795,TRUE
704705,45,TRUE
158478,596,TRUE
980322,435,TRUE
293040,295,TRUE
302048,895,TRUE
582449,595,TRUE
132725,115,TRUE
933908,250,TRUE
841569,195,TRUE
734353,16,TRUE
318042,30,TRUE
516485,2795,TRUE
662625,95,TRUE
248042,15,FALSE
435496,195,TRUE
858394,1295,TRUE
268691,1045,TRUE
500633,79,TRUE
721641,2100,TRUE
340092,375,TRUE
883401,25,TRUE
334947,35,TRUE
159758,27,TRUE
497643,729,TRUE
831859,262.5,TRUE
635318,995,TRUE
823420,895,TRUE
795521,25,TRUE
363653,25,TRUE
284345,149,TRUE
855602,125,TRUE
144015,200,TRUE
988777,95,TRUE
816509,25,TRUE
599973,695,TRUE
939166,240,TRUE
977828,675,TRUE
101436,495,TRUE
137682,995,FALSE
925285,225,TRUE
476978,145,TRUE
672073,595,TRUE
163994,360,TRUE
882977,150,TRUE
465306,345,TRUE
194618,245,TRUE
180451,200,TRUE
613337,475,TRUE
374575,99,TRUE
261281,4030,TRUE
417586,2650,TRUE
719419,445,TRUE
406444,1445,TRUE
293935,1060,TRUE
885144,460,TRUE
356639,4870,TRUE
949571,875,TRUE
309456,995,TRUE
126715,1245,TRUE
230371,2000,TRUE
611463,2656,TRUE
743423,919,TRUE
748481,985,TRUE
412306,825,TRUE
293555,245,TRUE
312930,435,TRUE
254097,870,TRUE
971246,1495,TRUE
717407,3310,TRUE
424417,790,TRUE
964390,325,TRUE
753178,255,TRUE
495633,1035,TRUE
677804,1540,TRUE
110257,175,TRUE
684843,490,TRUE
151683,410,TRUE
863174,1846,TRUE
195595,1327,TRUE
495405,1410,TRUE
112332,3775,TRUE
768508,2165,TRUE
617488,2765,TRUE
192479,1490,TRUE
390371,575,TRUE
574364,5500,TRUE
525374,460,TRUE
560686,425,TRUE
809397,590,TRUE
346858,1560,TRUE
193099,1220,TRUE
611030,1075,TRUE
238498,4785,TRUE
665350,950,TRUE
877690,3206,TRUE
810849,425,TRUE
698554,145,TRUE
931173,995,TRUE
360314,4865,TRUE
971147,2200,TRUE
412956,5040,TRUE
130483,795,TRUE
220345,3227,TRUE
251423,1900,TRUE
859951,5553,TRUE
740508,5840,TRUE
762355,2495,TRUE
685079,1395,TRUE
635985,5345,TRUE
921465,3388,TRUE
642761,1139,TRUE
790908,2345,TRUE
686903,2615,TRUE
974241,197,TRUE
